,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
7838,0.642,0.6940000000000001,11,-6.104,1,0.364,0.000335,0.0,0.312,0.568,106.41,4,143331,Underground Rap
9533,0.789,0.488,4,-9.093,0,0.2269999999999999,0.179,7.94e-06,0.104,0.0644,133.114,4,209453,Underground Rap
7128,0.736,0.903,9,-7.249,0,0.225,0.0204,0.0,0.38,0.852,146.035,4,102000,Underground Rap
7342,0.574,0.7040000000000001,8,-6.291,1,0.908,0.00525,0.0,0.0976,0.0975,205.758,4,106083,Underground Rap
7964,0.3939999999999999,0.6609999999999999,4,-8.684,1,0.192,0.00996,0.0,0.3429999999999999,0.335,149.81799999999998,4,260987,Underground Rap
5790,0.601,0.7120000000000001,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,4,154000,Underground Rap
9593,0.636,0.8,11,-4.265,0,0.347,0.337,0.0,0.39,0.7040000000000001,177.31400000000002,4,238453,Underground Rap
5975,0.8029999999999999,0.534,11,-7.582000000000001,0,0.186,0.0467,0.0,0.134,0.331,117.93,4,130247,Underground Rap
9934,0.7709999999999999,0.629,1,-3.574,0,0.145,0.0381,0.00555,0.175,0.136,155.067,4,113048,Underground Rap
6299,0.8759999999999999,0.519,11,-6.531000000000001,1,0.143,0.2019999999999999,0.0,0.108,0.158,189.962,4,175230,Underground Rap
7366,0.902,0.73,7,-3.077,1,0.13,0.0153,0.0,0.0933,0.4,200.094,4,186890,Underground Rap
9926,0.78,0.7440000000000001,1,-12.055,1,0.627,0.231,1.65e-06,0.257,0.79,120.13,4,130000,Underground Rap
5741,0.667,0.6729999999999999,0,-7.574,1,0.3229999999999999,0.0641,4e-06,0.0975,0.669,144.256,4,201964,Underground Rap
6676,0.7559999999999999,0.903,7,-4.656000000000001,1,0.14,0.0298,0.385,0.29,0.7829999999999999,193.468,4,232600,Underground Rap
8937,0.809,0.622,5,-7.338999999999999,0,0.0533,0.427,0.0226,0.0954,0.503,117.97,4,175961,Underground Rap
8653,0.8859999999999999,0.479,4,-8.054,0,0.3339999999999999,0.077,0.0,0.135,0.408,130.029,4,158692,Underground Rap
5722,0.852,0.5529999999999999,1,-7.286,1,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,4,205879,Underground Rap
8399,0.7609999999999999,0.687,11,-7.436,0,0.0407,0.0409999999999999,6.7e-06,0.0762,0.295,120.012,4,192052,Underground Rap
6998,0.76,0.588,8,-6.305,0,0.3879999999999999,0.102,0.0,0.0796,0.6759999999999999,140.053,4,179644,Underground Rap
9373,0.861,0.56,1,-9.974,1,0.299,0.148,2.7e-05,0.439,0.634,176.59799999999998,4,260200,Underground Rap
4986,0.8290000000000001,0.59,9,-7.818,0,0.263,0.0391,0.0107,0.114,0.332,112.97,4,127128,Underground Rap
8149,0.769,0.541,7,-6.065,1,0.0413,0.423,0.00064,0.1009999999999999,0.439,160.055,4,169424,Underground Rap
9512,0.95,0.407,0,-6.1770000000000005,1,0.0984,0.0236,2.37e-06,0.0906,0.499,200.042,4,137215,Underground Rap
10118,0.598,0.6829999999999999,4,-6.587999999999999,0,0.054,0.0152,0.0,0.319,0.122,135.982,5,177160,Underground Rap
