,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
3673,0.584,0.524,4,-6.001,1,0.0287,0.335,0.0,0.11,0.389,143.863,audio_features,4gzeYkzuzxuzAUTsGcdjqA,spotify:track:4gzeYkzuzxuzAUTsGcdjqA,https://api.spotify.com/v1/tracks/4gzeYkzuzxuzAUTsGcdjqA,https://api.spotify.com/v1/audio-analysis/4gzeYkzuzxuzAUTsGcdjqA,219000,4,Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,It Won't Be Like This For Long,country
3674,0.527,0.902,6,-5.352,1,0.0601,0.344,4.63e-05,0.0669,0.709,181.964,audio_features,5dNGORzxFb5z3v7vSAFkTU,spotify:track:5dNGORzxFb5z3v7vSAFkTU,https://api.spotify.com/v1/tracks/5dNGORzxFb5z3v7vSAFkTU,https://api.spotify.com/v1/audio-analysis/5dNGORzxFb5z3v7vSAFkTU,191040,4,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Beachin',country
3675,0.614,0.381,4,-14.628,1,0.0441,0.244,4.12e-05,0.0917,0.504,145.056,audio_features,0SW6NfA6MTCC6OWNt6SAkV,spotify:track:0SW6NfA6MTCC6OWNt6SAkV,https://api.spotify.com/v1/tracks/0SW6NfA6MTCC6OWNt6SAkV,https://api.spotify.com/v1/audio-analysis/0SW6NfA6MTCC6OWNt6SAkV,199667,4,"Hank Williams, Jr.",2dyeCWctcFRt3Pha76ONgb,Dinosaur,country
3676,0.735,0.768,5,-4.481,1,0.0353,0.0197,0.0,0.0643,0.83,104.991,audio_features,3AsNVBJ7LHsltdu9490ZiS,spotify:track:3AsNVBJ7LHsltdu9490ZiS,https://api.spotify.com/v1/tracks/3AsNVBJ7LHsltdu9490ZiS,https://api.spotify.com/v1/audio-analysis/3AsNVBJ7LHsltdu9490ZiS,217840,4,Easton Corbin,070kGpqtESdDsLb3gdMIyx,A Girl Like You,country
3677,0.7,0.492,8,-8.84,1,0.0307,0.417,0.0,0.132,0.449,97.001,audio_features,7IatLQIKChU9gt0OexdEXp,spotify:track:7IatLQIKChU9gt0OexdEXp,https://api.spotify.com/v1/tracks/7IatLQIKChU9gt0OexdEXp,https://api.spotify.com/v1/audio-analysis/7IatLQIKChU9gt0OexdEXp,205324,4,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,Homesick,country
3678,0.492,0.823,6,-8.526,1,0.0297,0.127,0.0,0.0523,0.702,94.342,audio_features,2op0kDNARK2VHWHntEeH4g,spotify:track:2op0kDNARK2VHWHntEeH4g,https://api.spotify.com/v1/tracks/2op0kDNARK2VHWHntEeH4g,https://api.spotify.com/v1/audio-analysis/2op0kDNARK2VHWHntEeH4g,215173,4,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,Just To See You Smile,country
3679,0.308,0.993,0,-3.853,1,0.159,0.0459,0.00392,0.0773,0.0825,127.511,audio_features,1iDugXsvJ2cb5snhHP3t41,spotify:track:1iDugXsvJ2cb5snhHP3t41,https://api.spotify.com/v1/tracks/1iDugXsvJ2cb5snhHP3t41,https://api.spotify.com/v1/audio-analysis/1iDugXsvJ2cb5snhHP3t41,283853,4,Whitechapel,5274obTQJjzjyycRyJlfml,"I, Dementia",heavy-metal
3680,0.263,0.95,4,-6.366,0,0.0954,0.00295,0.000121,0.0908,0.565,196.728,audio_features,3PXTDsPCP2dxGiArERTCng,spotify:track:3PXTDsPCP2dxGiArERTCng,https://api.spotify.com/v1/tracks/3PXTDsPCP2dxGiArERTCng,https://api.spotify.com/v1/audio-analysis/3PXTDsPCP2dxGiArERTCng,242040,4,Helloween,4pQN0GB0fNEEOfQCaWotsY,Future World,heavy-metal
3681,0.775,0.678,1,-9.769,0,0.302,0.0411,0.0,0.197,0.766,97.129,audio_features,36Sgnj9hPNFDfEaolq7jgx,spotify:track:36Sgnj9hPNFDfEaolq7jgx,https://api.spotify.com/v1/tracks/36Sgnj9hPNFDfEaolq7jgx,https://api.spotify.com/v1/audio-analysis/36Sgnj9hPNFDfEaolq7jgx,265107,4,50 Cent,3q7HBObVc0L8jNeTe5Gofh,How to Rob (feat. The Madd Rapper),hip-hop
3682,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,audio_features,6I6NX6tjGsxFAsIfGzY9lJ,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,https://api.spotify.com/v1/tracks/6I6NX6tjGsxFAsIfGzY9lJ,https://api.spotify.com/v1/audio-analysis/6I6NX6tjGsxFAsIfGzY9lJ,264747,4,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,Deja Vu,hip-hop
